"","variable","BUILDINGID","value"
"1","WAP002","0",-88
"2","WAP005","2",-89.5
"3","WAP006","1",-75.5185185185185
"4","WAP007","0",-69.3333333333333
"5","WAP008","1",-75.5
"6","WAP009","0",-70.8461538461538
"7","WAP010","1",-86.6666666666667
"8","WAP011","2",-55.875
"9","WAP012","2",-57.05
"10","WAP013","0",-65.44
"11","WAP014","0",-65.9183673469388
"12","WAP015","1",-79.5
"13","WAP016","1",-79.5
"14","WAP017","0",-87.3333333333333
"15","WAP018","0",-85.625
"16","WAP019","0",-70.9487179487179
"17","WAP020","0",-70.425
"18","WAP021","1",-90
"19","WAP022","1",-90
"20","WAP023","0",-65
"21","WAP024","0",-65
"22","WAP025","0",-68
"23","WAP026","0",-67.9333333333333
"24","WAP027","0",-67.9111111111111
"25","WAP028","0",-67.4565217391304
"26","WAP029","0",-61.7719298245614
"27","WAP030","0",-60.9830508474576
"28","WAP031","0",-65.28
"29","WAP032","0",-65.7142857142857
"30","WAP033","0",-63
"31","WAP034","0",-63
"32","WAP035","0",-60.5
"33","WAP036","0",-60.5
"34","WAP037","1",-72.9142857142857
"35","WAP038","1",-73.2727272727273
"36","WAP039","0",-62.4821428571429
"37","WAP040","0",-62
"38","WAP041","0",-63.5
"39","WAP042","0",-63.5
"40","WAP043","0",-60.4666666666667
"41","WAP044","0",-60.4666666666667
"42","WAP045","0",-67.5
"43","WAP046","0",-67.5
"44","WAP047","0",-62.4821428571429
"45","WAP048","0",-62.4821428571429
"46","WAP049","0",-70.5
"47","WAP050","0",-70
"48","WAP051","0",-66.9148936170213
"49","WAP052","0",-66.375
"50","WAP053","0",-62
"51","WAP054","0",-62
"52","WAP055","1",-88
"53","WAP056","1",-88
"54","WAP057","0",-67.304347826087
"55","WAP058","0",-67.7111111111111
"56","WAP059","2",-66.125
"57","WAP060","2",-65.5
"58","WAP061","2",-59.9473684210526
"59","WAP062","2",-56.0952380952381
"60","WAP063","2",-68.3939393939394
"61","WAP064","2",-63.1315789473684
"62","WAP065","2",-57
"63","WAP066","2",-52.9705882352941
"64","WAP067","2",-65.9795918367347
"65","WAP068","2",-65.9795918367347
"66","WAP069","2",-62.2727272727273
"67","WAP070","2",-63.1698113207547
"68","WAP071","0",-72.1111111111111
"69","WAP072","0",-71.972972972973
"70","WAP073","2",-60.4561403508772
"71","WAP074","2",-61.5818181818182
"72","WAP075","0",-63.5
"73","WAP076","0",-63.5
"74","WAP077","2",-61.8703703703704
"75","WAP078","2",-63.24
"76","WAP080","0",-60.6949152542373
"77","WAP081","0",-61.051724137931
"78","WAP082","2",-61.0535714285714
"79","WAP083","2",-54.7076923076923
"80","WAP084","2",-61.4615384615385
"81","WAP085","2",-59.8909090909091
"82","WAP086","1",-84.4444444444444
"83","WAP087","2",-56.3272727272727
"84","WAP088","1",-68.2619047619048
"85","WAP089","1",-69.675
"86","WAP090","1",-67.4130434782609
"87","WAP091","1",-67.6
"88","WAP096","2",-64.5
"89","WAP097","2",-65
"90","WAP098","2",-63.8867924528302
"91","WAP099","2",-64.4615384615385
"92","WAP100","0",-78.6
"93","WAP101","1",-67.3260869565217
"94","WAP102","1",-66.5
"95","WAP103","1",-69.5
"96","WAP104","1",-68.3636363636364
"97","WAP105","1",-65.6222222222222
"98","WAP106","1",-69.1428571428571
"99","WAP107","1",-68.5
"100","WAP108","1",-68.953488372093
"101","WAP109","1",-69.0476190476191
"102","WAP110","1",-68.9024390243902
"103","WAP111","1",-69.3571428571429
"104","WAP112","1",-69.2619047619048
"105","WAP113","1",-66.7872340425532
"106","WAP114","1",-66.7872340425532
"107","WAP115","1",-65.34
"108","WAP116","1",-65.34
"109","WAP117","2",-66
"110","WAP118","2",-64.5714285714286
"111","WAP119","1",-67.4782608695652
"112","WAP120","1",-68.1818181818182
"113","WAP121","2",-62.1785714285714
"114","WAP122","2",-62.1785714285714
"115","WAP123","1",-66.3958333333333
"116","WAP124","1",-66.8510638297872
"117","WAP125","1",-71
"118","WAP126","1",-71.5
"119","WAP127","2",-59.1186440677966
"120","WAP128","2",-58.5593220338983
"121","WAP129","1",-68.7380952380952
"122","WAP130","1",-67.2391304347826
"123","WAP131","2",-63.4807692307692
"124","WAP132","2",-64.4313725490196
"125","WAP133","1",-88
"126","WAP134","1",-68.2727272727273
"127","WAP135","1",-67.4565217391304
"128","WAP136","1",-67.9555555555555
"129","WAP137","1",-67.5333333333333
"130","WAP138","2",-64.936170212766
"131","WAP139","2",-57.0701754385965
"132","WAP140","1",-70.5
"133","WAP141","1",-70.5
"134","WAP142","0",-60.864406779661
"135","WAP143","0",-60.864406779661
"136","WAP144","2",-61.5
"137","WAP145","2",-55.7096774193548
"138","WAP146","1",-71.5135135135135
"139","WAP147","1",-70.7692307692308
"140","WAP148","1",-70.025
"141","WAP149","1",-69.825
"142","WAP150","1",-73.3235294117647
"143","WAP151","1",-73.2352941176471
"144","WAP154","0",-66.9787234042553
"145","WAP155","0",-64.9803921568627
"146","WAP156","0",-64.9803921568627
"147","WAP157","2",-85
"148","WAP161","0",-64.9607843137255
"149","WAP162","0",-64.9607843137255
"150","WAP163","0",-87.5
"151","WAP164","1",-67.6888888888889
"152","WAP165","1",-68.8372093023256
"153","WAP166","1",-66.5
"154","WAP167","1",-66.8085106382979
"155","WAP168","1",-68.8139534883721
"156","WAP169","1",-68.8139534883721
"157","WAP170","1",-67.2045454545455
"158","WAP171","1",-67.5714285714286
"159","WAP172","1",-67.9777777777778
"160","WAP173","1",-67.9777777777778
"161","WAP174","1",-66.9347826086957
"162","WAP175","1",-65.9375
"163","WAP176","1",-67.5777777777778
"164","WAP177","1",-67.2826086956522
"165","WAP178","1",-68.3181818181818
"166","WAP179","1",-68.7674418604651
"167","WAP180","1",-68.4186046511628
"168","WAP181","1",-68
"169","WAP182","1",-69.4047619047619
"170","WAP183","1",-68.9761904761905
"171","WAP184","1",-71.5
"172","WAP185","1",-72
"173","WAP186","1",-65.8333333333333
"174","WAP187","1",-66.4042553191489
"175","WAP188","1",-66.4791666666667
"176","WAP189","1",-66
"177","WAP191","1",-71.4210526315789
"178","WAP192","1",-71.8918918918919
"179","WAP194","1",-49
"180","WAP195","2",-82
"181","WAP196","2",-85
"182","WAP197","2",-90
"183","WAP198","1",-89
"184","WAP200","2",-89
"185","WAP201","0",-84.5
"186","WAP202","0",-84
"187","WAP203","2",-65.9795918367347
"188","WAP204","2",-65.9795918367347
"189","WAP214","2",-86
"190","WAP216","2",-83.2
"191","WAP218","2",-88.5
"192","WAP222","1",-75.5
"193","WAP223","1",-75.5
"194","WAP224","0",-67
"195","WAP225","0",-67.4782608695652
"196","WAP229","2",-84.5
"197","WAP230","2",-85.375
"198","WAP232","2",-83.8461538461538
"199","WAP233","2",-83.3076923076923
"200","WAP234","2",-77.4285714285714
"201","WAP235","2",-85.3333333333333
"202","WAP236","2",-86.2857142857143
"203","WAP237","2",-86
"204","WAP248","0",-75
"205","WAP249","2",-65.6666666666667
"206","WAP250","2",-85
"207","WAP253","0",-67.4782608695652
"208","WAP255","1",-77
"209","WAP256","1",-76.92
"210","WAP257","1",-77.64
"211","WAP258","1",-62.9272727272727
"212","WAP259","1",-61.875
"213","WAP260","1",-60.5344827586207
"214","WAP261","1",-62.7454545454545
"215","WAP262","1",-60.9827586206897
"216","WAP263","1",-63.462962962963
"217","WAP264","0",-83.5
"218","WAP265","0",-81.3333333333333
"219","WAP267","0",-88.5
"220","WAP268","0",-76.962962962963
"221","WAP269","0",-82.4444444444444
"222","WAP270","0",-81.5333333333333
"223","WAP271","0",-83.3
"224","WAP272","0",-83.5
"225","WAP273","0",-85.6666666666667
"226","WAP274","1",-61.375
"227","WAP275","0",-85.3333333333333
"228","WAP276","0",-87
"229","WAP277","2",-65.4
"230","WAP278","1",-61.9122807017544
"231","WAP279","2",-63.8780487804878
"232","WAP280","0",-82.4375
"233","WAP281","0",-83.2142857142857
"234","WAP282","1",-59.9824561403509
"235","WAP284","1",-65.5
"236","WAP285","0",-86
"237","WAP286","2",-65.3846153846154
"238","WAP287","0",-82.6666666666667
"239","WAP288","1",-63.5
"240","WAP289","0",-78.8181818181818
"241","WAP290","0",-80.8947368421053
"242","WAP291","0",-87
"243","WAP292","0",-77.625
"244","WAP294","0",-78.8260869565217
"245","WAP295","1",-67.3913043478261
"246","WAP298","0",-87
"247","WAP299","0",-84.8888888888889
"248","WAP300","0",-86.125
"249","WAP302","0",-87.3333333333333
"250","WAP305","2",-83
"251","WAP306","0",-89
"252","WAP308","0",-79.8823529411765
"253","WAP309","0",-87
"254","WAP310","1",-77.5
"255","WAP311","1",-78.3913043478261
"256","WAP312","1",-79
"257","WAP313","1",-62.4423076923077
"258","WAP314","1",-63.4150943396226
"259","WAP315","1",-61.448275862069
"260","WAP316","1",-63.1481481481481
"261","WAP317","1",-61.8571428571429
"262","WAP318","1",-62.9636363636364
"263","WAP319","0",-83.2857142857143
"264","WAP320","0",-83
"265","WAP322","0",-88
"266","WAP323","0",-76.7777777777778
"267","WAP324","0",-83.7142857142857
"268","WAP325","0",-84.0833333333333
"269","WAP326","0",-83.6
"270","WAP327","0",-82.0625
"271","WAP328","0",-86
"272","WAP329","1",-61.4727272727273
"273","WAP330","0",-85
"274","WAP331","0",-88
"275","WAP332","2",-65.18
"276","WAP334","1",-62.4363636363636
"277","WAP335","2",-65.6923076923077
"278","WAP336","0",-83.3571428571429
"279","WAP337","0",-82.4
"280","WAP338","1",-60.5
"281","WAP340","1",-65.5
"282","WAP341","0",-87.5
"283","WAP342","2",-65.3421052631579
"284","WAP343","0",-84
"285","WAP344","1",-62.9444444444444
"286","WAP345","0",-78.6086956521739
"287","WAP346","0",-78.8095238095238
"288","WAP348","0",-81.1
"289","WAP350","0",-79.6666666666667
"290","WAP351","1",-66.4583333333333
"291","WAP354","0",-88
"292","WAP355","0",-85.5555555555556
"293","WAP356","0",-85.4444444444444
"294","WAP358","0",-84
"295","WAP359","0",-85.5
"296","WAP362","1",-87
"297","WAP363","0",-89
"298","WAP364","0",-82.25
"299","WAP366","1",-77.5
"300","WAP367","1",-79.25
"301","WAP368","1",-77.4230769230769
"302","WAP369","1",-62.4807692307692
"303","WAP370","1",-62.8490566037736
"304","WAP371","1",-61.4827586206897
"305","WAP372","1",-63.3207547169811
"306","WAP374","1",-63.3207547169811
"307","WAP375","1",-63
"308","WAP376","0",-82.5
"309","WAP377","0",-82.2
"310","WAP379","0",-88
"311","WAP380","0",-77.96
"312","WAP381","0",-85.25
"313","WAP382","0",-83.0714285714286
"314","WAP383","0",-81.8571428571429
"315","WAP384","0",-83.2142857142857
"316","WAP385","0",-86.5
"317","WAP386","1",-61.8181818181818
"318","WAP387","0",-81
"319","WAP388","0",-87.3333333333333
"320","WAP389","2",-65.5
"321","WAP390","1",-62.5925925925926
"322","WAP391","2",-63.9024390243902
"323","WAP392","0",-84.5
"324","WAP393","0",-82.25
"325","WAP394","1",-61.1929824561403
"326","WAP396","1",-65.5
"327","WAP397","0",-87.2
"328","WAP398","2",-60.9285714285714
"329","WAP399","0",-84.75
"330","WAP400","1",-63.86
"331","WAP401","0",-78.6086956521739
"332","WAP402","0",-79.75
"333","WAP403","0",-83.125
"334","WAP404","0",-79.5
"335","WAP405","1",-66.3958333333333
"336","WAP409","0",-83
"337","WAP410","0",-86
"338","WAP411","0",-84.3333333333333
"339","WAP413","2",-82
"340","WAP414","0",-90
"341","WAP415","0",-80.8333333333333
"342","WAP418","2",-81.3333333333333
"343","WAP422","2",-85.625
"344","WAP424","2",-89
"345","WAP426","0",-89
"346","WAP428","2",-81.1666666666667
"347","WAP430","2",-85.5
"348","WAP432","2",-83.5
"349","WAP434","0",-65.7272727272727
"350","WAP435","2",-88
"351","WAP436","2",-89
"352","WAP439","1",-79.6666666666667
"353","WAP440","2",-87
"354","WAP443","0",-84
"355","WAP447","0",-73.7307692307692
"356","WAP449","2",-86.5
"357","WAP452","0",-67.1086956521739
"358","WAP453","2",-86.4
"359","WAP454","2",-87.3333333333333
"360","WAP455","2",-86.5
"361","WAP456","2",-79.4090909090909
"362","WAP459","0",-79.5
"363","WAP460","2",-88.25
"364","WAP461","2",-85.8
"365","WAP462","2",-87.5
"366","WAP463","2",-85
"367","WAP465","2",-83.6363636363636
"368","WAP467","2",-86.8333333333333
"369","WAP472","2",-85
"370","WAP473","2",-85.7777777777778
"371","WAP476","2",-86
"372","WAP478","2",-70
"373","WAP479","2",-72.6428571428571
"374","WAP480","2",-86.7142857142857
"375","WAP481","2",-58.7083333333333
"376","WAP483","2",-70.5405405405405
"377","WAP484","2",-63.3777777777778
"378","WAP486","2",-65.1428571428571
"379","WAP489","2",-62.9636363636364
"380","WAP490","1",-89.5
"381","WAP492","2",-80.4
"382","WAP493","2",-79.75
"383","WAP494","0",-86
"384","WAP495","2",-58.7460317460317
"385","WAP496","2",-59.2333333333333
"386","WAP498","2",-80.4
"387","WAP499","2",-79.8947368421053
"388","WAP500","0",-85.6666666666667
"389","WAP501","2",-57.90625
"390","WAP502","2",-59.7931034482759
"391","WAP503","2",-68.7906976744186
"392","WAP504","2",-86.3333333333333
"393","WAP505","2",-85
"394","WAP506","2",-86.6666666666667
"395","WAP508","2",-89.5
"396","WAP509","2",-86
"397","WAP511","2",-60.6415094339623
"398","WAP512","2",-85.5
"399","WAP513","2",-80
"400","WAP514","2",-79.75
"401","WAP515","0",-85
"402","WAP516","2",-56.3030303030303
"403","WAP517","2",-58.4918032786885
"404","WAP518","2",-88
